antibody_id,discovery_platform,ADI_natural384,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Tezepelumab,transgenic_animal,53.79,6.57,-0.368,39.1,-0.82,4.0,5.389,0.778,0.857,7.0,3.0,0.0,3.0,4.0,12.0,4.0,51.0,831.39,2.0,4.0,0.0,85.631548,73.0,4.622495,1.63104,673.008786
Tilrekimig2,unlabeled,58.32,8.33,-0.377,37.0,2.17,4.0,4.387,0.778,0.857,7.0,3.0,0.0,3.0,3.0,12.0,4.0,51.0,761.61,2.0,4.0,4.51,86.010066,70.0,4.597932,1.755988,671.612544
Timolumab,transgenic_animal,63.29,8.33,-0.22,38.9,1.82,3.0,1.882,0.889,1.0,8.0,3.0,0.0,2.0,2.0,8.0,4.0,44.0,573.09,1.0,3.0,6.0,87.102349,68.0,4.637823,1.599856,533.072827
Timcevibart,phage_display,73.97,7.78,-0.126,44.5,0.73,3.0,2.993,0.667,0.714,3.0,3.0,0.0,2.0,2.0,8.0,4.0,44.0,600.35,1.0,3.0,0.0,87.668011,66.0,4.73031,0.949957,595.813863
Tiragolumab,phage_display,62.16,6.57,-0.386,39.7,-0.2,3.0,0.077,0.556,0.714,8.0,8.0,0.0,2.0,2.0,8.0,4.0,59.0,402.34,2.0,2.0,1.0,72.436337,68.0,4.760953,2.822566,441.246813
Tisotumab,transgenic_animal,60.3,8.32,-0.375,48.5,1.8,2.0,1.922,0.556,0.571,1.0,1.0,0.0,3.0,2.0,8.0,4.0,45.0,189.08,1.0,1.0,3.0,86.797273,70.0,4.68557,1.996611,512.716604
Tixagevimab,human_b_cell_derived,63.68,8.73,-0.287,44.4,3.8,3.0,0.181,0.778,0.857,6.0,5.0,0.0,0.0,1.0,11.0,6.0,52.0,836.51,1.0,1.0,3.0,83.497765,71.0,4.677708,1.996046,583.217376
Tixestobart,transgenic_animal,68.24,8.62,-0.289,31.5,2.81,4.0,1.081,0.556,0.714,4.0,3.0,0.0,0.0,0.0,9.0,4.0,47.0,204.37,1.0,2.0,3.1,84.41383,55.0,4.714071,2.874255,655.158474
Tobevibart,phage_display,61.6,7.89,-0.249,39.8,0.9,2.0,1.292,0.556,0.714,8.0,6.0,0.0,3.0,3.0,10.0,4.0,46.0,672.27,2.0,3.0,0.0,88.12271,71.0,4.567086,0.940214,759.841412
Torudokimab,transgenic_animal,66.19,8.67,-0.141,41.4,3.07,3.0,0.909,0.778,0.714,6.0,4.0,1.0,2.0,1.0,6.0,4.0,51.0,1155.47,1.1,1.0,6.51,83.372347,64.0,4.687456,1.959636,530.559347
Torvutatug,unlabeled,70.37,8.82,-0.362,43.5,3.72,3.0,0.0,0.556,0.714,3.0,2.0,0.0,2.0,2.0,8.0,4.0,47.0,357.66,2.0,2.0,4.0,82.86204,56.0,4.786759,2.605135,536.346713
Tosatoxumab,transgenic_animal,58.26,8.63,-0.415,39.3,3.06,4.0,5.337,0.556,0.714,2.0,2.0,0.0,1.0,2.0,12.0,4.0,53.0,273.87,3.2,2.0,0.0,84.585723,71.0,4.586262,1.705243,641.799772
Tovetumab,transgenic_animal,75.79,9.16,-0.282,41.7,5.81,3.0,0.083,0.667,0.714,2.0,2.0,0.0,2.0,1.0,9.0,4.0,48.0,350.38,1.0,2.0,16.0,88.184458,72.0,4.658867,2.036521,449.567133
Tozorakimab,transgenic_animal,69.68,8.34,-0.256,39.7,1.8,3.0,4.374,0.556,0.571,3.0,2.0,0.0,3.0,1.0,11.0,4.0,53.0,1121.57,3.0,2.0,-3.0,84.496737,76.0,4.600336,0.284243,515.002353
Trabikibart,phage_display,67.4,9.18,-0.243,47.9,5.89,3.0,2.163,0.667,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,44.0,466.51,4.0,1.0,15.0,87.089708,73.0,4.756763,2.291358,482.144926
Tralokinumab,transgenic_animal,64.85,5.86,-0.327,32.3,-1.18,4.0,3.213,0.778,0.714,4.0,3.0,0.0,2.0,2.0,11.0,4.0,51.0,934.84,1.0,3.0,0.0,83.846669,64.0,4.663574,2.165743,621.354167
Traxivitug,transgenic_animal,64.34,8.36,-0.366,40.9,1.91,4.0,3.825,0.556,0.714,5.0,4.0,0.0,3.0,3.0,8.0,4.0,48.0,205.86,4.0,2.0,0.0,86.588464,72.0,4.574466,0.833501,586.026011
Tremelimumab,phage_display,64.53,8.77,-0.336,47.3,3.81,3.0,2.087,0.778,0.857,5.0,2.0,0.0,3.0,2.0,9.0,4.0,52.0,368.53,1.0,2.0,15.0,87.185,81.0,4.696486,2.155846,474.096792
Trevogrumab,phage_display,77.97,7.85,-0.205,40.3,0.8,3.0,0.922,0.667,0.714,3.0,3.0,0.0,2.0,3.0,9.0,4.0,47.0,654.17,1.0,2.0,2.0,82.706901,66.0,4.647285,1.246104,545.660351
Trinbelimab,transgenic_animal,55.16,9.09,-0.326,47.7,6.79,4.0,4.896,0.667,0.571,1.0,1.0,0.0,0.0,0.0,9.0,6.0,61.0,973.15,2.0,1.0,4.4,80.787179,70.0,4.637934,2.707283,711.236931
Trovostobart,transgenic_animal,55.22,8.32,-0.084,33.4,1.73,3.0,0.082,0.778,0.857,8.0,6.0,0.0,0.0,0.0,7.0,4.0,44.0,631.29,1.0,2.0,6.0,83.248769,66.0,4.673351,2.071963,514.040188
Tuvonralimab,transgenic_animal,65.83,8.82,-0.319,39.1,3.82,3.0,0.014,0.778,0.857,7.0,4.0,0.0,3.0,1.0,7.0,4.0,45.0,479.67,1.0,2.0,9.0,85.441126,66.0,4.680943,2.431683,507.639482
Ulocuplumab,transgenic_animal,63.94,8.59,-0.398,48.5,2.8,3.0,0.926,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,52.0,330.91,2.0,2.0,6.0,83.568636,76.0,4.642768,1.695434,498.972251
Umesolerbart,transgenic_animal,64.72,7.88,-0.253,49.8,0.9,2.0,5.081,0.556,0.714,3.0,3.0,0.0,0.0,2.0,8.0,4.0,46.0,319.06,1.0,4.0,0.0,85.708729,66.0,4.725159,2.224792,521.35144
Urabrelimab,transgenic_animal,67.12,8.33,-0.229,30.8,1.82,3.0,2.0,0.556,0.714,5.0,5.0,0.0,1.0,1.0,7.0,4.0,51.0,473.78,2.1,2.0,5.1,80.51831,69.0,4.693166,2.532163,622.050968
Urelumab,phage_display,67.32,5.89,-0.274,37.6,-1.18,3.0,2.99,0.556,0.571,4.0,4.0,0.0,0.0,0.0,8.0,4.0,50.0,251.15,1.0,3.0,0.2,85.325662,73.0,4.506815,0.529121,513.038246
Ustekinumab,transgenic_animal,59.08,8.8,-0.338,51.7,3.8,3.0,2.074,0.556,0.714,2.0,1.0,0.0,1.0,1.0,12.0,4.0,46.0,229.73,3.0,2.0,6.0,82.592367,77.0,4.657161,1.547286,507.201094
Utomilumab,transgenic_animal,62.09,5.83,-0.34,29.8,-1.12,3.0,5.281,0.556,0.714,4.0,2.0,1.0,1.0,1.0,10.0,4.0,45.0,248.76,2.0,2.0,-3.0,83.171035,69.0,4.646566,2.535182,604.951393
Vantictumab,human_b_cell_derived,65.25,5.67,-0.2,37.2,-2.02,4.0,4.07,0.667,0.714,4.0,3.0,0.0,3.0,2.0,5.0,4.0,46.0,905.67,1.0,3.0,-2.1,86.27801,77.0,4.434884,0.873335,625.421849
Varisacumab,transgenic_animal,66.46,6.51,-0.267,49.2,-0.26,4.0,5.983,0.667,0.714,2.0,2.0,0.0,1.0,1.0,10.0,4.0,53.0,750.85,1.0,4.0,-16.0,79.252716,75.0,4.71731,2.763966,617.749755
Varlilumab,transgenic_animal,58.66,8.99,-0.386,48.9,4.81,2.0,0.912,0.778,0.857,6.0,2.0,0.0,2.0,2.0,10.0,4.0,46.0,150.93,1.0,1.0,12.0,86.423979,76.0,4.668159,1.205936,489.080278
Varokibart,transgenic_animal,61.33,6.31,-0.272,25.3,-1.01,4.0,5.198,0.556,0.714,3.0,2.0,0.0,2.0,2.0,7.0,4.0,46.0,358.53,1.1,3.0,-8.99,86.175545,75.0,4.472213,0.385468,521.560369
Vebanvibart,human_b_cell_derived,74.27,5.02,-0.271,42.0,-5.08,3.0,1.01,0.667,0.571,2.0,2.0,0.0,2.0,1.0,8.0,4.0,53.0,884.39,2.1,6.0,3.61,78.361461,78.0,4.604666,1.150322,653.761799
Vesencumab,transgenic_animal,69.95,8.82,-0.241,42.2,3.8,3.0,1.918,0.556,0.571,2.0,2.0,0.0,1.0,1.0,9.0,4.0,50.0,554.72,2.0,1.0,8.0,83.402361,83.0,4.536713,0.883703,560.098752
Verekitug,transgenic_animal,62.93,8.99,-0.318,44.8,4.89,3.0,3.167,0.556,0.571,2.0,1.0,0.0,1.0,1.0,7.0,4.0,45.0,202.46,2.0,2.0,5.0,87.747446,70.0,4.585533,1.940203,543.268143
Verzistobart,phage_display,75.85,8.35,-0.278,44.0,1.81,3.0,1.996,0.556,0.714,4.0,4.0,0.0,2.0,1.0,6.0,4.0,47.0,161.6,2.0,1.0,0.0,87.072655,54.0,4.739869,2.542964,585.746793
Vilamakitug,phage_display,66.64,5.19,-0.317,39.6,-3.18,3.0,2.906,0.667,0.714,8.0,6.0,0.0,1.0,1.0,8.0,4.0,51.0,801.95,1.0,3.0,-3.9,73.989279,65.0,4.680296,1.509206,577.843071
Vipalanebart,transgenic_animal,70.38,7.88,-0.2,48.6,1.07,3.0,1.159,0.667,0.857,3.0,2.0,0.0,2.0,0.0,11.0,4.0,50.0,857.09,1.0,2.0,2.31,83.919585,72.0,4.715177,2.361771,492.650482
Vislarafusp,unlabeled,82.46,8.61,-0.334,40.7,2.97,3.0,0.921,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,47.0,423.64,2.0,2.0,6.2,84.059119,72.0,4.703723,2.41842,499.521997
Vixarelimab,transgenic_animal,64.26,5.85,-0.354,41.2,-1.18,4.0,0.912,0.556,0.714,5.0,4.0,0.0,2.0,2.0,12.0,4.0,57.0,824.56,2.0,3.0,0.0,84.647405,76.0,4.581245,1.350111,606.075765
Vixticibart,transgenic_animal,62.44,8.95,-0.389,47.4,4.81,3.0,0.913,0.667,0.714,1.0,1.0,0.0,2.0,1.0,13.0,4.0,50.0,224.07,1.1,1.0,4.4,80.451932,69.0,4.706327,2.682336,593.730888
Vofatamab,phage_display,69.91,5.86,-0.262,30.4,-1.11,3.0,3.008,0.667,0.571,2.0,2.0,0.0,1.0,1.0,7.0,4.0,54.0,525.56,1.1,2.0,0.0,76.553175,85.0,4.596061,1.05704,515.690921
Volagidemab,transgenic_animal,61.43,8.8,-0.41,50.5,3.99,3.0,1.913,0.778,0.857,4.0,1.0,0.0,2.0,2.0,9.0,4.0,55.0,643.82,2.1,3.0,12.71,73.985262,58.0,4.747416,2.855703,555.894216
Vopikitug,human_b_cell_derived,74.02,8.32,-0.121,41.8,1.73,3.0,1.991,0.667,0.714,4.0,3.0,0.0,0.0,0.0,9.0,4.0,49.0,1516.06,1.0,3.0,0.0,83.059498,67.0,4.7093,2.12751,571.063242
Vulinacimab,human_b_cell_derived,70.07,8.86,-0.253,51.1,3.9,3.0,2.001,0.556,0.571,3.0,3.0,0.0,2.0,2.0,9.0,4.0,49.0,592.22,2.0,1.0,16.81,78.508856,63.0,4.718634,2.460639,530.960409
Xeligekimab,transgenic_animal,67.17,6.17,-0.381,41.0,-1.02,3.0,4.921,0.667,0.857,4.0,2.0,1.0,3.0,1.0,11.0,4.0,54.0,520.43,1.1,3.0,-6.2,81.427897,62.0,4.750462,2.890563,469.138768
Zalifrelimab,transgenic_animal,73.27,8.86,-0.222,38.8,3.81,3.0,0.004,0.556,0.571,3.0,3.0,0.0,2.0,1.0,9.0,4.0,45.0,713.65,1.0,1.0,9.0,85.114043,68.0,4.61908,1.053697,518.058451
Zalutumumab,phage_display,67.34,7.78,-0.244,41.3,0.82,3.0,3.048,0.778,0.857,7.0,3.0,0.0,3.0,3.0,9.0,4.0,52.0,704.97,1.0,3.0,0.0,81.054971,71.0,4.69294,2.121062,469.994881
Zanolimumab,transgenic_animal,73.08,8.63,-0.24,31.7,2.9,3.0,1.0,0.667,0.714,3.0,2.0,1.0,1.0,0.0,9.0,4.0,42.0,202.96,1.0,1.0,6.51,85.897861,73.0,4.645765,2.371238,531.802973
Zeluvalimab,transgenic_animal,61.57,6.98,-0.199,52.3,-0.02,3.0,1.922,0.778,0.857,6.0,2.0,0.0,2.0,0.0,9.0,4.0,47.0,667.49,1.0,1.0,0.2,86.591204,67.0,4.695589,2.157814,535.485632
Zimberelimab,transgenic_animal,64.63,6.12,-0.254,36.0,-1.1,4.0,4.994,0.556,0.571,5.0,4.0,0.0,2.0,1.0,7.0,4.0,54.0,188.79,1.1,1.0,-7.6,83.333352,68.0,4.632515,0.944167,552.32042
Zinlirvimab,phage_display,69.49,8.64,-0.34,31.5,2.91,4.0,1.118,0.556,0.714,4.0,3.0,0.0,2.0,2.0,10.0,4.0,56.0,846.38,3.0,2.0,42.6,20.797411705043906,148.0,4.712569544272152,2.031461477279663,891.6959234900459
Zovostotug,transgenic_animal,71.09,8.56,-0.402,51.1,2.89,3.0,2.833,0.667,0.857,4.0,2.0,0.0,2.0,2.0,9.0,4.0,61.0,290.55,2.0,2.0,8.4,73.883757,76.0,4.6993,1.915916,499.206559
